workflow_mode,store_scope,month_key,source_id,status,path,chunk_start_utc,chunk_end_utc,row_count,staged_from_legacy_path,source_system,source_tier
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202107,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202107.csv,2021-07-01T00:00:00+00:00,2021-07-31T23:59:59+00:00,140,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202108,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202108.csv,2021-08-01T00:00:00+00:00,2021-08-31T23:59:59+00:00,195,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202109,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202109.csv,2021-09-01T00:00:00+00:00,2021-09-30T23:59:59+00:00,120,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202110,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202110.csv,2021-10-01T00:00:00+00:00,2021-10-31T23:59:59+00:00,171,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202111,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202111.csv,2021-11-01T00:00:00+00:00,2021-11-30T23:59:59+00:00,97,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202112,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202112.csv,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,207,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202201,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202201.csv,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,122,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202202,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202202.csv,2022-02-01T00:00:00+00:00,2022-02-28T23:59:59+00:00,19,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202203,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202203.csv,2022-03-01T00:00:00+00:00,2022-03-31T23:59:59+00:00,0,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202204,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202204.csv,2022-04-01T00:00:00+00:00,2022-04-30T23:59:59+00:00,90,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202205,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202205.csv,2022-05-01T00:00:00+00:00,2022-05-31T23:59:59+00:00,34,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202206,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202206.csv,2022-06-01T00:00:00+00:00,2022-06-30T23:59:59+00:00,0,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202207,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202207.csv,2022-07-01T00:00:00+00:00,2022-07-31T23:59:59+00:00,0,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202208,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202208.csv,2022-08-01T00:00:00+00:00,2022-08-31T23:59:59+00:00,18,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202209,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202209.csv,2022-09-01T00:00:00+00:00,2022-09-30T23:59:59+00:00,134,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202210,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202210.csv,2022-10-01T00:00:00+00:00,2022-10-31T23:59:59+00:00,574,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202211,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202211.csv,2022-11-01T00:00:00+00:00,2022-11-30T23:59:59+00:00,156,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202212,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202212.csv,2022-12-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,219,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202301,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202301.csv,2023-01-01T00:00:00+00:00,2023-01-31T23:59:59+00:00,288,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202302,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202302.csv,2023-02-01T00:00:00+00:00,2023-02-28T23:59:59+00:00,77,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202303,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202303.csv,2023-03-01T00:00:00+00:00,2023-03-02T23:59:59+00:00,0,,,
